"File","Line","Class","Kind","Text"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_RopingDraw.cs","18","Harmony_Patch_RopingDraw","AccessToolsReflection","fieldPawn = AccessTools.Field(typeof(Pawn_RopeTracker), ""pawn"");"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_RopingDraw.cs","19","Harmony_Patch_RopingDraw","AccessToolsReflection","fieldRopeLineMat = AccessTools.Field(typeof(Pawn_RopeTracker), ""RopeLineMat"");"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_RopingDraw.cs","22","Harmony_Patch_RopingDraw","TargetMethod","static MethodBase TargetMethod()"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_RopingDraw.cs","24","Harmony_Patch_RopingDraw","AccessToolsReflection","return AccessTools.Method(typeof(Pawn_RopeTracker), ""RopingDraw"");"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_RopingDraw.cs","27","Harmony_Patch_RopingDraw","PrefixMethod","public static bool Prefix(Pawn_RopeTracker __instance)"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_RopingTick.cs","11","","HarmonyPatchAttribute","[HarmonyPatch(typeof(Pawn_RopeTracker), ""RopingTick"")]"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_RopingTick.cs","15","Patch_RopingTick","AccessToolsReflection","private static readonly FieldInfo pawnField = AccessTools.Field(typeof(Pawn_RopeTracker), ""pawn"");"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_RopingTick.cs","39","Patch_RopingTick","PrefixMethod","public static bool Prefix(Pawn_RopeTracker __instance)"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_ShouldShowRestraintsInfo.cs","8","","HarmonyPatchAttribute","[HarmonyPatch(typeof(RestraintsUtility), nameof(RestraintsUtility.InRestraints))]"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_ShouldShowRestraintsInfo.cs","11","Patch_RestraintsUtility_InRestraints","PrefixMethod","public static bool Prefix(Pawn pawn, ref bool __result)"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_ShouldShowRestraintsInfo.cs","25","Patch_RestraintsUtility_InRestraints","HarmonyPatchAttribute","[HarmonyPatch(typeof(RestraintsUtility), nameof(RestraintsUtility.ShouldShowRestraintsInfo))]"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_ShouldShowRestraintsInfo.cs","28","RestraintsUtility_ShouldShowRestraintsInfo_Patch","PrefixMethod","static bool Prefix(Pawn pawn, ref bool __result)"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_TakeToPreferredBedJob.cs","8","","HarmonyPatchAttribute","[HarmonyPatch(typeof(WorkGiver_Warden_TakeToBed), ""TakeToPreferredBedJob"")]"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_TakeToPreferredBedJob.cs","12","TakeToPreferredBedJob_Patch","HarmonyPostfixAttribute","[HarmonyPostfix]"
"1.6\Source\WRace\RopingAndRoped牵引系统的编程\Harmony_TakeToPreferredBedJob.cs","13","TakeToPreferredBedJob_Patch","PostfixMethod","public static void Postfix(ref Job __result, Pawn prisoner, Pawn warden)"
